player_name,team,save_percentage,goals_against_avg,games_played,shutouts,team_full
Lindsey Post,NY,0.946,1.61,2,0,New York
Elaine Chuli,MTL,0.949,1.61,8,0,Montreal
Erica Howe,TOR,0.921,1.89,3,0,Toronto
Kristen Campbell,TOR,0.927,1.99,22,3,Toronto
Aerin Frankel,BOS,0.929,2.00,18,1,Boston
Maddie Rooney,MIN,0.915,2.08,10,2,Minnesota
Nicole Hensley,MIN,0.919,2.19,14,1,Minnesota
Ann-Renée Desbiens,MTL,0.923,2.28,16,1,Montreal
Emerance Maschmeyer,OTT,0.915,2.30,23,2,Ottawa
Corinne Schroeder,NY,0.930,2.40,15,1,New York
Emma Söderberg,BOS,0.900,2.54,8,0,Boston
Abigail Levy,NY,0.906,3.07,8,0,New York
Sandra Abstreiter,OTT,0.913,3.08,3,0,Ottawa
